fecha cer,ARTX213=BA,ARTC213=BA,ART2X13=BA,ART2X23=BA,ARTX223=BA,ARTX233=BA,ARTX243=BA,ARTX263=BA,año,mes,dia,fecha cer,cer index,CLOSE,cer año,cer mes,cer dia
2020-04-21,78.0,245.2,80.0,,75.0,66.0,,,2020,4,21,2020-04-21,2020-04-09,20.5731,2020,4,9
2020-04-22,79.35,250.75,,,75.1,66.0,,,2020,4,22,2020-04-22,2020-04-10,20.5863,2020,4,10
2020-04-23,81.0,254.95,81.0,,77.0,66.0,,,2020,4,23,2020-04-23,2020-04-13,20.6258,2020,4,13
2020-04-24,81.94,256.0,81.75,,77.3,,70.0,,2020,4,24,2020-04-24,2020-04-14,20.6389,2020,4,14
2020-04-27,87.25,276.0,89.0,,81.1,,,,2020,4,27,2020-04-27,2020-04-15,20.6521,2020,4,15
2020-04-28,93.75,290.25,91.5,,85.0,74.9,70.0,,2020,4,28,2020-04-28,2020-04-16,20.6745,2020,4,16
2020-04-29,94.3,302.5,91.0,,86.5,77.5,71.0,,2020,4,29,2020-04-29,2020-04-17,20.6969,2020,4,17
2020-04-30,95.61,304.95,94.5,,89.1,,,,2020,4,30,2020-04-30,2020-04-20,20.7642,2020,4,20
2020-05-04,93.3,299.0,94.5,,87.2,77.5,,,2020,5,4,2020-05-04,2020-04-22,20.8092,2020,4,22
2020-05-05,94.74,299.0,93.5,,88.0,77.25,73.0,,2020,5,5,2020-05-05,2020-04-23,20.8317,2020,4,23
2020-05-06,92.05,294.0,93.8,,83.8,,68.0,,2020,5,6,2020-05-06,2020-04-24,20.8543,2020,4,24
2020-05-07,91.25,290.0,92.0,,81.65,70.0,,,2020,5,7,2020-05-07,2020-04-27,20.9221,2020,4,27
2020-05-08,92.6,296.0,91.5,,82.65,73.8,66.0,,2020,5,8,2020-05-08,2020-04-28,20.9447,2020,4,28
2020-05-11,93.7,300.5,93.5,,84.0,74.85,68.55,,2020,5,11,2020-05-11,2020-04-29,20.9674,2020,4,29
2020-05-12,95.35,301.4,95.0,,85.0,76.25,69.6,,2020,5,12,2020-05-12,2020-04-30,20.9901,2020,4,30
2020-05-13,94.25,300.0,93.0,,82.3,73.0,66.2,,2020,5,13,2020-05-13,2020-05-01,21.0128,2020,5,1
2020-05-14,94.2,297.25,93.0,,82.15,72.25,66.75,,2020,5,14,2020-05-14,2020-05-04,21.0812,2020,5,4
2020-05-15,94.25,301.1,93.0,,84.9,73.4,68.0,,2020,5,15,2020-05-15,2020-05-05,21.104,2020,5,5
2020-05-18,95.65,301.7,91.0,,85.85,75.5,69.43,,2020,5,18,2020-05-18,2020-05-06,21.1269,2020,5,6
2020-05-19,97.25,307.0,93.2,,86.86,78.0,70.5,,2020,5,19,2020-05-19,2020-05-07,21.1497,2020,5,7
2020-05-20,97.3,306.75,93.5,77.65,87.0,77.5,70.35,,2020,5,20,2020-05-20,2020-05-08,21.1726,2020,5,8
2020-05-21,98.75,308.0,97.0,77.5,88.0,78.4,70.9,,2020,5,21,2020-05-21,2020-05-11,21.2415,2020,5,11
2020-05-22,98.9,310.5,97.0,79.5,88.75,80.45,73.0,,2020,5,22,2020-05-22,2020-05-12,21.2645,2020,5,12
2020-05-26,101.2,317.5,93.0,82.0,91.25,82.05,75.8,,2020,5,26,2020-05-26,2020-05-14,21.3106,2020,5,14
