,CLOSE,cer index
241,22.1799,2020-07-28
242,22.1955,2020-07-29
243,22.2111,2020-07-30
244,22.2267,2020-07-31
245,22.2736,2020-08-03
246,22.2736,2020-08-03
247,22.2736,2020-08-03
248,22.2892,2020-08-04
249,22.3048,2020-08-05
250,22.3205,2020-08-06
251,22.3362,2020-08-07
252,22.3833,2020-08-10
253,22.3833,2020-08-10
254,22.3833,2020-08-10
255,22.399,2020-08-11
256,22.4147,2020-08-12
257,22.4305,2020-08-13
258,22.4462,2020-08-14
259,22.4893,2020-08-17
260,22.4893,2020-08-17
261,22.4893,2020-08-17
262,22.5029,2020-08-18
263,22.5166,2020-08-19
264,22.5303,2020-08-20
265,22.544,2020-08-21
266,22.5851,2020-08-24
267,22.5851,2020-08-24
268,22.5851,2020-08-24
269,22.5988,2020-08-25
270,22.6125,2020-08-26
271,22.6262,2020-08-27
272,22.64,2020-08-28
273,22.6812,2020-08-31
274,22.6812,2020-08-31
275,22.6812,2020-08-31
276,22.695,2020-09-01
277,22.7088,2020-09-02
278,22.7226,2020-09-03
279,22.7364,2020-09-04
280,22.7778,2020-09-07
281,22.7778,2020-09-07
282,22.7778,2020-09-07
283,22.7917,2020-09-08
284,22.8055,2020-09-09
285,22.8194,2020-09-10
286,22.8332,2020-09-11
287,22.8749,2020-09-14
288,22.8749,2020-09-14
289,22.8749,2020-09-14
290,22.8888,2020-09-15
291,22.9091,2020-09-16
292,22.9294,2020-09-17
293,22.9498,2020-09-18
294,23.011,2020-09-21
295,23.011,2020-09-21
296,23.011,2020-09-21
297,23.0315,2020-09-22
298,23.0519,2020-09-23
299,23.0724,2020-09-24
300,23.0929,2020-09-25
301,23.1545,2020-09-28
302,23.1545,2020-09-28
303,23.1545,2020-09-28
304,23.1751,2020-09-29
305,23.1957,2020-09-30
306,23.2163,2020-10-01
307,23.2369,2020-10-02
308,23.2989,2020-10-05
309,23.2989,2020-10-05
310,23.2989,2020-10-05
311,23.3196,2020-10-06
312,23.3403,2020-10-07
313,23.3611,2020-10-08
314,23.3818,2020-10-09
315,23.4442,2020-10-12
316,23.4442,2020-10-12
317,23.4442,2020-10-12
318,23.465,2020-10-13
319,23.4859,2020-10-14
320,23.5067,2020-10-15
321,23.5277,2020-10-16
322,23.5907,2020-10-19
323,23.5907,2020-10-19
324,23.5907,2020-10-19
325,23.6117,2020-10-20
326,23.6327,2020-10-21
327,23.6538,2020-10-22
328,23.6749,2020-10-23
